,name of song,name of artist,peak ranking
0,Save Your Tears,The Weeknd & Ariana Grande,1
1,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),1
2,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,1
3,Rapstar,Polo G,1
4,Levitating,Dua Lipa Featuring DaBaby,5
5,Kiss Me More,Doja Cat Featuring SZA,6
6,Montero (Call Me By Your Name),Lil Nas X,1
7,Astronaut In The Ocean,Masked Wolf,7
8,Up,Cardi B,1
9,Drivers License,Olivia Rodrigo,1
10,Blinding Lights,The Weeknd,1
11,Deja Vu,Olivia Rodrigo,8
12,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,12
13,Calling My Phone,Lil Tjay Featuring 6LACK,3
14,On Me,Lil Baby,15
15,Best Friend,Saweetie Featuring Doja Cat,14
16,Heartbreak Anniversary,Giveon,17
17,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,18
18,What You Know Bout Love,Pop Smoke,9
19,Mood,24kGoldn Featuring iann dior,1
20,My Ex's Best Friend,Machine Gun Kelly X blackbear,21
21,Back In Blood,Pooh Shiesty Featuring Lil Durk,13
22,Without You,The Kid LAROI,23
23,The Good Ones,Gabby Barrett,19
24,Go Crazy,Chris Brown & Young Thug,3
25,You Broke Me First.,Tate McRae,17
26,34+35,Ariana Grande,2
27,Hell Of A View,Eric Church,28
28,Forever After All,Luke Combs,2
29,What's Next,Drake,1
30,Time Today,Moneybagg Yo,31
31,Therefore I Am,Billie Eilish,2
32,Dakiti,Bad Bunny & Jhay Cortez,5
33,Positions,Ariana Grande,1
34,Shottas (Lala),Moneybagg Yo,35
35,Solid,Young Thug & Gunna Featuring Drake,12
36,Track Star,Mooski,35
37,Ski,Young Thug & Gunna,18
38,Wants And Needs,Drake Featuring Lil Baby,2
39,You're Mines Still,Yung Bleu Featuring Drake,18
40,We're Good,Dua Lipa,38
41,Heat Waves,Glass Animals,39
42,Made For You,Jake Owen,42
43,Good Days,SZA,9
44,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,6
45,Breaking Up Was Easy In The 90's,Sam Hunt,46
46,No More Parties,Coi Leray Featuring Lil Durk,26
47,Goosebumps,Travis Scott & HVME,47
48,Telepatia,Kali Uchis,39
49,Tombstone,Rod Wave,11
50,Streets,Doja Cat,16
51,Go!,Moneybagg Yo Featuring BIG30,52
52,Hard For The Next,Moneybagg Yo & Future,49
53,If Pain Was A Person,Moneybagg Yo,54
54,What's Your Country Song,Thomas Rhett,29
55,Just The Way,Parmalee x Blanco Brown,31
56,Hold On,Justin Bieber,20
57,Settling Down,Miranda Lambert,58
58,Wockesha,Moneybagg Yo,59
59,Botella Tras Botella,Gera MX + Christian Nodal,60
60,Willow,Taylor Swift,1
61,Damage,H.E.R.,44
62,Street Runner,Rod Wave,16
63,Come Through,H.E.R. Featuring Chris Brown,64
64,Somebody Like That,Tenille Arts,50
65,pov,Ariana Grande,40
66,Lil Bit,Nelly & Florida Georgia Line,67
67,Gone,Dierks Bentley,68
68,Nobody,Dylan Scott,69
69,Famous Friends,Chris Young + Kane Brown,70
70,Quicksand,Morray,71
71,Lady,Brett Young,52
72,The Business,Tiesto,69
73,La Noche de Anoche,Bad Bunny & Rosalia,53
74,One Too Many,Keith Urban Duet With P!nk,62
75,Richer,Rod Wave Featuring Polo G,22
76,Almost Maybes,Jordan Davis,73
77,Follow You,Imagine Dragons,78
78,Glad You Exist,Dan + Shay,63
79,Free Promo,Moneybagg Yo Featuring Polo G & Lil Durk,80
80,Pick Up Your Feelings,Jazmine Sullivan,75
81,Just Say Det,Moneybagg Yo,82
82,Big Gangsta,Kevin Gates,81
83,Down To One,Luke Bryan,36
84,Headshot,"Lil Tjay, Polo G & Fivio Foreign",42
85,Hellcats & Trackhawks,Lil Durk,69
86,Anyone,Justin Bieber,6
87,My Head And My Heart,Ava Max,45
88,How They Remember You,Rascal Flatts,89
89,Arcade,Duncan Laurence,90
90,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,79
91,Masterpiece,DaBaby,55
92,Long Live,Florida Georgia Line,45
93,Chasing After You,Ryan Hurd With Maren Morris,91
94,Drankin N Smokin,Future & Lil Uzi Vert,31
95,4 Da Gang,42 Dugg & Roddy Ricch,67
96,Blame It On You,Jason Aldean,97
97,Wasted On You,Morgan Wallen,9
98,Way Less Sad,AJR,99
99,Clear Da Air,Moneybagg Yo,100
